"Date","Price","Open","High","Low","Vol.","Change %"
"05-05-2025","280.26","284.57","284.85","274.40","94.62M","-2.42%"
"02-05-2025","287.21","284.90","294.78","279.81","114.45M","2.38%"
"01-05-2025","280.52","280.01","290.87","279.81","99.66M","-0.58%"
"30-04-2025","282.16","279.90","284.45","270.78","128.96M","-3.38%"
"29-04-2025","292.03","285.50","293.32","279.47","108.91M","2.15%"
"28-04-2025","285.88","288.98","294.86","272.42","151.73M","0.33%"
"25-04-2025","284.95","261.69","286.85","259.63","167.56M","9.80%"
"24-04-2025","259.51","250.50","259.54","249.20","94.46M","3.50%"
"23-04-2025","250.74","254.86","259.45","244.43","150.38M","5.37%"
"22-04-2025","237.97","230.96","242.79","229.85","120.86M","4.60%"
"21-04-2025","227.50","230.26","232.21","222.79","97.77M","-5.75%"
"17-04-2025","241.37","243.47","244.34","237.68","83.40M","-0.07%"
"16-04-2025","241.55","247.61","251.97","233.89","112.38M","-4.94%"
"15-04-2025","254.11","249.91","258.75","247.54","79.59M","0.70%"
"14-04-2025","252.35","258.36","261.80","245.93","100.14M","0.02%"
"11-04-2025","252.31","251.84","257.74","241.36","128.95M","-0.04%"
"10-04-2025","252.40","260.00","262.49","239.33","181.72M","-7.27%"
"09-04-2025","272.20","224.69","274.69","223.88","219.43M","22.69%"
"08-04-2025","221.86","245.00","250.44","217.80","171.60M","-4.90%"
"07-04-2025","233.29","223.78","252.00","214.25","183.45M","-2.56%"
"04-04-2025","239.43","255.38","261.00","236.00","181.23M","-10.42%"
"03-04-2025","267.28","265.29","276.30","261.51","136.17M","-5.47%"
"02-04-2025","282.76","254.60","284.99","251.27","212.79M","5.33%"
"01-04-2025","268.46","263.80","277.45","259.25","146.49M","3.59%"
"31-03-2025","259.16","249.31","260.56","243.36","134.01M","-1.67%"
"28-03-2025","263.55","275.58","276.10","260.57","123.81M","-3.51%"
"27-03-2025","273.13","272.48","291.85","271.82","162.57M","0.39%"
"26-03-2025","272.06","282.66","284.90","266.51","156.25M","-5.58%"
"25-03-2025","288.14","283.60","288.20","271.28","150.36M","3.50%"
"24-03-2025","278.39","258.08","278.64","256.33","169.08M","11.93%"
"21-03-2025","248.71","234.99","249.52","234.55","132.73M","5.27%"
"20-03-2025","236.26","233.35","238.00","230.05","99.03M","0.17%"
"19-03-2025","235.86","231.61","241.41","229.20","111.99M","4.68%"
"18-03-2025","225.31","228.15","230.10","222.28","111.48M","-5.34%"
"17-03-2025","238.01","245.05","245.40","232.80","111.90M","-4.79%"
"14-03-2025","249.98","247.31","251.58","240.73","100.24M","3.86%"
"13-03-2025","240.68","248.13","248.29","232.60","114.81M","-2.99%"
"12-03-2025","248.09","247.22","251.84","241.10","142.22M","7.59%"
"11-03-2025","230.58","225.30","237.06","217.02","174.90M","3.79%"
"10-03-2025","222.15","252.54","253.37","220.00","189.08M","-15.43%"
"07-03-2025","262.67","259.32","266.25","250.73","102.37M","-0.30%"
"06-03-2025","263.45","272.06","272.65","260.02","98.45M","-5.61%"
"05-03-2025","279.10","272.92","279.55","267.71","94.04M","2.60%"
"04-03-2025","272.04","270.93","284.35","261.84","126.71M","-4.43%"
"03-03-2025","284.65","300.34","303.94","277.30","115.55M","-2.84%"
"28-02-2025","292.98","279.50","293.88","273.60","115.70M","3.91%"
"27-02-2025","281.95","291.16","297.23","280.88","101.75M","-3.04%"
"26-02-2025","290.80","303.71","309.00","288.04","100.12M","-3.96%"
"25-02-2025","302.80","327.02","328.89","297.25","134.23M","-8.39%"
"24-02-2025","330.53","338.14","342.40","324.70","76.05M","-2.15%"
"21-02-2025","337.80","353.44","354.98","334.42","74.06M","-4.68%"
"20-02-2025","354.40","361.51","362.30","348.00","45.97M","-1.71%"
"19-02-2025","360.56","354.00","367.34","353.67","67.09M","1.82%"
"18-02-2025","354.11","355.01","359.10","350.02","51.63M","-0.49%"
"14-02-2025","355.84","360.62","362.00","347.50","68.28M","-0.03%"
"13-02-2025","355.94","345.00","358.69","342.85","89.44M","5.77%"
"12-02-2025","336.51","329.94","346.40","329.12","105.38M","2.44%"
"11-02-2025","328.50","345.80","349.37","325.10","118.54M","-6.34%"
"10-02-2025","350.73","356.21","362.70","350.51","77.51M","-3.01%"
"07-02-2025","361.62","370.19","380.55","360.34","70.30M","-3.39%"
"06-02-2025","374.32","373.03","375.40","363.18","77.92M","-1.02%"
"05-02-2025","378.17","387.51","388.39","375.53","57.61M","-3.58%"
"04-02-2025","392.21","382.63","394.00","381.40","57.07M","2.22%"
"03-02-2025","383.68","386.68","389.17","374.36","93.73M","-5.17%"
"31-01-2025","404.60","401.53","419.99","401.34","83.57M","1.08%"
"30-01-2025","400.28","410.78","412.50","384.41","98.09M","2.87%"
"29-01-2025","389.10","395.21","398.59","384.48","68.03M","-2.26%"
"28-01-2025","398.09","396.91","400.59","386.50","48.91M","0.24%"
"27-01-2025","397.15","394.80","406.69","389.00","58.13M","-2.32%"
"24-01-2025","406.58","414.45","418.88","405.78","56.43M","-1.41%"
"23-01-2025","412.38","416.06","420.73","408.95","50.69M","-0.66%"
"22-01-2025","415.11","416.81","428.00","414.59","60.96M","-2.11%"
"21-01-2025","424.07","432.64","433.20","406.31","87.32M","-0.57%"
"17-01-2025","426.50","421.50","439.74","419.75","94.99M","3.06%"
"16-01-2025","413.82","423.49","424.00","409.13","68.34M","-3.36%"
"15-01-2025","428.22","409.90","429.80","405.66","81.38M","8.04%"
"14-01-2025","396.36","414.34","422.64","394.54","84.57M","-1.72%"
"13-01-2025","403.31","383.21","403.79","380.07","67.58M","2.17%"
"10-01-2025","394.74","391.40","399.28","377.29","62.29M","-0.05%"
"08-01-2025","394.94","392.95","402.50","387.40","73.04M","0.15%"
"07-01-2025","394.36","405.83","414.33","390.00","75.70M","-4.06%"
"06-01-2025","411.05","423.20","426.43","401.70","85.52M","0.15%"
"03-01-2025","410.44","381.48","411.88","379.45","95.42M","8.22%"
"02-01-2025","379.28","390.10","392.73","373.04","109.71M","-6.08%"
"31-12-2024","403.84","423.79","427.93","402.54","76.83M","-3.25%"
"30-12-2024","417.41","419.40","427.00","415.75","64.94M","-3.30%"
"27-12-2024","431.66","449.52","450.00","426.50","82.67M","-4.95%"
"26-12-2024","454.13","465.16","465.33","451.02","76.65M","-1.76%"
"24-12-2024","462.28","435.90","462.78","435.14","59.55M","7.36%"
"23-12-2024","430.60","431.00","434.51","415.41","72.70M","2.27%"
"20-12-2024","421.06","425.51","447.08","417.64","132.22M","-3.46%"
"19-12-2024","436.17","451.88","456.36","420.02","118.57M","-0.90%"
"18-12-2024","440.13","466.49","488.54","427.01","149.34M","-8.28%"
"17-12-2024","479.86","475.90","483.99","457.51","131.22M","3.64%"
"16-12-2024","463.02","441.09","463.19","436.15","114.08M","6.14%"
"13-12-2024","436.23","420.00","436.30","415.71","89.00M","4.34%"
"12-12-2024","418.10","424.84","429.30","415.00","87.75M","-1.57%"
"11-12-2024","424.77","409.70","424.88","402.38","104.29M","5.93%"
"10-12-2024","400.99","392.68","409.73","390.85","97.56M","2.87%"
"09-12-2024","389.79","397.61","404.80","378.01","96.36M","0.15%"
"06-12-2024","389.22","377.42","389.49","370.80","81.46M","5.34%"
"05-12-2024","369.49","359.87","375.43","359.50","81.40M","3.23%"
"04-12-2024","357.93","353.00","358.10","348.60","50.81M","1.85%"
"03-12-2024","351.42","351.80","355.69","348.20","58.27M","-1.59%"
"02-12-2024","357.09","352.38","360.00","351.15","77.99M","3.46%"
"29-11-2024","345.16","336.08","345.45","334.65","37.17M","3.69%"
"27-11-2024","332.89","341.80","342.55","326.59","57.90M","-1.58%"
"26-11-2024","338.23","341.00","346.96","335.66","62.30M","-0.11%"
"25-11-2024","338.59","360.14","361.93","338.20","95.89M","-3.96%"
"22-11-2024","352.56","341.08","361.53","337.70","89.14M","3.80%"
"21-11-2024","339.64","343.81","347.99","335.28","58.01M","-0.70%"
"20-11-2024","342.03","345.00","346.60","334.30","66.34M","-1.15%"
"19-11-2024","346.00","335.76","347.38","332.75","88.85M","2.14%"
"18-11-2024","338.74","340.73","348.55","330.01","126.55M","5.62%"
"15-11-2024","320.72","310.57","324.68","309.22","114.44M","3.07%"
"14-11-2024","311.18","327.69","329.98","310.37","120.73M","-5.77%"
"13-11-2024","330.24","335.85","344.60","322.50","125.41M","0.53%"
"12-11-2024","328.49","342.74","345.84","323.31","155.73M","-6.15%"
"11-11-2024","350.00","346.30","358.64","336.00","210.52M","8.96%"
"08-11-2024","321.22","299.14","328.71","297.66","204.78M","8.19%"
"07-11-2024","296.91","288.89","299.75","285.52","117.31M","2.90%"
"06-11-2024","288.53","284.67","289.59","275.62","165.23M","14.75%"
"05-11-2024","251.44","247.34","255.28","246.21","69.28M","3.54%"
"04-11-2024","242.84","244.56","248.90","238.88","68.80M","-2.47%"
"01-11-2024","248.98","252.04","254.00","246.63","57.55M","-0.35%"
"31-10-2024","249.85","257.99","259.75","249.25","66.58M","-2.99%"
"30-10-2024","257.55","258.04","263.35","255.82","53.99M","-0.76%"
"29-10-2024","259.52","264.51","264.98","255.51","80.52M","-1.14%"
"28-10-2024","262.51","270.00","273.54","262.24","107.65M","-2.48%"
"25-10-2024","269.19","256.01","269.49","255.32","161.61M","3.34%"
"24-10-2024","260.48","244.68","262.12","242.65","204.49M","21.92%"
"23-10-2024","213.65","217.13","218.72","212.11","80.94M","-1.98%"
"22-10-2024","217.97","217.31","218.22","215.26","43.27M","-0.40%"
"21-10-2024","218.85","218.90","220.48","215.73","47.33M","-0.84%"
"18-10-2024","220.70","220.71","222.28","219.23","49.61M","-0.09%"
"17-10-2024","220.89","221.59","222.08","217.90","50.79M","-0.20%"
"16-10-2024","221.33","221.40","222.82","218.93","49.63M","0.80%"
"15-10-2024","219.57","220.01","224.26","217.12","62.99M","0.19%"
"14-10-2024","219.16","220.13","221.91","213.74","86.29M","0.62%"
"11-10-2024","217.80","220.13","223.34","214.38","142.63M","-8.78%"
"10-10-2024","238.77","241.81","242.79","232.34","83.09M","-0.95%"
"09-10-2024","241.05","243.82","247.43","239.51","66.29M","-1.41%"
"08-10-2024","244.50","243.56","246.21","240.56","56.30M","1.52%"
"07-10-2024","240.83","249.00","249.83","240.70","68.11M","-3.70%"
"04-10-2024","250.08","246.69","250.96","244.58","86.73M","3.91%"
"03-10-2024","240.66","244.48","249.79","237.81","80.73M","-3.36%"
"02-10-2024","249.02","247.55","251.16","241.50","93.98M","-3.49%"
"01-10-2024","258.02","262.67","263.98","248.53","87.40M","-1.38%"
"30-09-2024","261.63","259.04","264.86","255.77","80.87M","0.45%"
"27-09-2024","260.46","257.38","260.70","254.12","70.99M","2.45%"
"26-09-2024","254.22","260.60","261.75","251.53","67.14M","-1.09%"
"25-09-2024","257.02","252.54","257.05","252.28","65.03M","1.08%"
"24-09-2024","254.27","254.08","257.19","249.05","88.49M","1.71%"
"23-09-2024","250.00","242.61","250.00","241.92","86.93M","4.93%"
"20-09-2024","238.25","241.52","243.99","235.92","99.88M","-2.32%"
"19-09-2024","243.92","234.00","244.24","232.13","102.70M","7.36%"
"18-09-2024","227.20","230.09","235.68","226.88","78.01M","-0.29%"
"17-09-2024","227.87","229.45","234.57","226.55","66.76M","0.48%"
"16-09-2024","226.78","229.30","229.96","223.53","54.32M","-1.52%"
"13-09-2024","230.29","228.00","232.67","226.32","59.52M","0.21%"
"12-09-2024","229.81","224.66","231.45","223.83","72.02M","0.74%"
"11-09-2024","228.13","224.55","228.47","216.80","83.55M","0.87%"
"10-09-2024","226.17","220.07","226.40","218.64","78.89M","4.58%"
"09-09-2024","216.27","216.20","219.87","213.67","67.44M","2.63%"
"06-09-2024","210.73","232.60","233.60","210.51","112.18M","-8.45%"
"05-09-2024","230.17","223.49","235.00","222.25","119.36M","4.90%"
"04-09-2024","219.41","210.59","222.22","210.57","80.65M","4.18%"
"03-09-2024","210.60","215.26","219.90","209.64","76.71M","-1.64%"
"30-08-2024","214.11","208.63","214.57","207.03","63.37M","3.80%"
"29-08-2024","206.28","209.80","214.89","205.97","62.31M","0.26%"
"28-08-2024","205.75","209.72","211.84","202.59","64.12M","-1.65%"
"27-08-2024","209.21","213.25","215.66","206.94","62.82M","-1.88%"
"26-08-2024","213.21","218.75","219.09","211.01","59.30M","-3.23%"
"23-08-2024","220.32","214.46","221.48","214.21","81.53M","4.59%"
"22-08-2024","210.66","223.82","224.80","210.32","79.51M","-5.65%"
"21-08-2024","223.27","222.67","224.66","218.86","70.15M","0.98%"
"20-08-2024","221.10","224.88","228.22","219.56","74.00M","-0.73%"
"19-08-2024","222.72","217.07","222.98","214.09","76.44M","3.05%"
"16-08-2024","216.12","211.15","219.80","210.80","88.77M","0.92%"
"15-08-2024","214.14","205.02","215.88","204.82","89.85M","6.34%"
"14-08-2024","201.38","207.39","208.44","198.75","70.25M","-3.10%"
"13-08-2024","207.83","198.47","208.49","197.06","76.25M","5.24%"
"12-08-2024","197.49","199.02","199.26","194.67","64.05M","-1.25%"
"09-08-2024","200.00","197.05","200.88","195.11","58.65M","0.58%"
"08-08-2024","198.84","195.70","200.70","192.04","65.03M","3.69%"
"07-08-2024","191.76","200.77","203.49","191.48","71.16M","-4.43%"
"06-08-2024","200.64","200.75","202.90","192.67","73.78M","0.88%"
"05-08-2024","198.88","185.22","203.88","182.00","100.31M","-4.23%"
"02-08-2024","207.67","214.88","216.13","205.78","82.88M","-4.24%"
"01-08-2024","216.86","227.69","231.87","214.33","83.86M","-6.55%"
"31-07-2024","232.07","227.90","234.68","226.79","67.50M","4.24%"
"30-07-2024","222.62","232.25","232.41","220.00","100.56M","-4.08%"
"29-07-2024","232.10","224.90","234.27","224.70","129.20M","5.60%"
"26-07-2024","219.80","221.19","222.28","215.33","94.60M","-0.20%"
"25-07-2024","220.25","216.80","226.00","216.23","100.64M","1.97%"
"24-07-2024","215.99","225.42","225.99","214.71","167.94M","-12.33%"
"23-07-2024","246.38","253.60","255.76","245.63","111.93M","-2.04%"
"22-07-2024","251.51","244.21","253.21","243.75","101.23M","5.15%"
"19-07-2024","239.20","247.79","249.44","236.83","87.40M","-4.02%"
"18-07-2024","249.23","251.09","257.14","247.20","110.87M","0.29%"
"17-07-2024","248.50","252.73","258.47","246.18","115.59M","-3.14%"
"16-07-2024","256.56","255.31","258.62","245.80","126.33M","1.55%"
"15-07-2024","252.64","255.97","265.60","251.73","146.91M","1.78%"
"12-07-2024","248.23","235.80","251.84","233.09","155.96M","2.99%"
"11-07-2024","241.03","263.30","271.00","239.65","221.71M","-8.44%"
"10-07-2024","263.26","262.80","267.59","257.86","128.52M","0.35%"
"09-07-2024","262.33","251.00","265.61","250.30","160.74M","3.71%"
"08-07-2024","252.94","247.71","259.44","244.57","157.22M","0.56%"
"05-07-2024","251.52","249.81","252.37","242.46","154.50M","2.08%"
"03-07-2024","246.39","234.56","248.35","234.25","166.56M","6.54%"
"02-07-2024","231.26","218.89","231.30","218.06","205.05M","10.20%"
"01-07-2024","209.86","201.02","213.23","200.85","135.69M","6.05%"
"28-06-2024","197.88","199.55","203.20","195.26","95.44M","0.23%"
"27-06-2024","197.42","195.17","198.72","194.05","72.75M","0.53%"
"26-06-2024","196.37","186.54","197.76","186.36","95.74M","4.81%"
"25-06-2024","187.35","184.40","187.97","182.01","63.68M","2.61%"
"24-06-2024","182.58","184.97","188.80","182.55","61.99M","-0.23%"
